Sr.No,Name,Ratings,Total_Reviews,,Company_Type,Locations,How_Old,Workforce
693,Hero Motors,4.2,(4k Reviews),,Private,New Delhi + 148 more,24 years old,5k-10k Employees (India)
694,Vistaar Finance,4.4,(662 Reviews),,Private,"Bangalore,Karnataka + 150 more",12 years old,1k-5k Employees (India)
695,Wind World,4,(662 Reviews),,Private,Mumbai + 43 more,28 years old,5k-10k Employees (India)
696,Annapurna Financ...,4.2,(661 Reviews),,Private,"Bhubaneswar,Odisha + 174 more",13 years old,5k-10k Employees (India)
697,Fidelity Nationa...,3.9,(660 Reviews),,Private,"Jacksonville,Florida + 6 more",175 years old,1k-5k Employees (India)
698,TDK,3.9,(658 Reviews),,Private,Tokyo + 25 more,87 years old,1k-5k Employees (India)
699,Amneal Pharmaceu...,4.4,(785 Reviews),,Private,"Bridgewater,New Jersey + 18 more",20 years old,1k-5k Employees (India)
700,Bosch Chassis Sy...,4.3,(656 Reviews),,Private,Gerlingen + 16 more,71 years old,501-1k Employees (India)
701,NoBroker,3.9,(657 Reviews),,Private,"Bangalore,Karnataka + 21 more",8 years old,1k-5k Employees (India)
702,BNP Paribas,4,(1.6k Reviews),,Private,Paris + 17 more,174 years old,10k-50k Employees (India)
703,Atul,3.9,(653 Reviews),,Public,Valsad + 43 more,75 years old,1k-5k Employees (India)
704,iSON Xperiences,3.5,(649 Reviews),,Private,Lagos + 25 more,11 years old,5k-10k Employees (India)
705,Karvy Stock Brok...,3.5,(649 Reviews),,Private,"Hyderabad/Secunderabad,Telangana + 99 more",32 years old,1k-5k Employees (India)
706,Arthur J. Gallag...,4,(647 Reviews),,Private,"Pune,Maharashtra + 5 more",20 years old,1k-5k Employees (India)
707,Nuvoco Vistas,4.3,(644 Reviews),,Private,Mumbai + 90 more,23 years old,1k-5k Employees (India)
708,Feedback Infrast...,3.9,(887 Reviews),,Private,"Gurgaon/Gurugram,Haryana + 97 more",32 years old,1k-5k Employees (India)
709,PNB Housing Fina...,4.1,(641 Reviews),,Public,"Delhi/NCR,New Delhi + 91 more",34 years old,1k-5k Employees (India)
710,Evalueserve,3.8,(641 Reviews),,Private,"Schaffhausen,Schaffhausen + 7 more",22 years old,1k-5k Employees (India)
711,Toppr,3.3,(640 Reviews),,Private,"Mumbai,Maharashtra + 43 more",9 years old,501-1k Employees (India)
712,GAMMON INDIA,4,(902 Reviews),,Public,"Mumbai,Maharashtra + 64 more",100 years old,11-50 Employees (India)
713,Siemens Gamesa R...,4.3,(638 Reviews),,Private,"Zamudio,Vizcaya + 41 more",46 years old,1k-5k Employees (India)
714,Aye Finance,4.4,(637 Reviews),,Private,"Delhi,NCT + 161 more",9 years old,1k-5k Employees (India)
715,Valeo,3.9,(636 Reviews),,Private,Paris + 16 more,99 years old,5k-10k Employees (India)
716,Technip,4,(636 Reviews),,Private,Paris + 30 more,5 years old,1k-5k Employees (India)
717,Medhaj Techno Co...,4.3,(634 Reviews),,Private,"Lucknow,Uttar Pradesh + 90 more",15 years old,1k-5k Employees (India)
718,Taurus BPO Serv...,4.9,(634 Reviews),,LLP,"Pune,Indore + 7 more",11 years old,1k-5k Employees (India)
719,TK Elevator,4.1,(1.3k Reviews),,Private,Essen + 56 more,27 years old,1k-5k Employees (India)
720,FastInfo,4.6,(916 Reviews),,Private,"Kolkata,West Bengal + 4 more",3 years old,201-500 Employees (India)
721,Infinite Compute...,4,(632 Reviews),,Public,Rockville + 20 more,21 years old,1k-5k Employees (India)
722,Unacademy,3.3,(733 Reviews),,Private,"Bangalore,Karnataka + 40 more",7 years old,1k-5k Employees (India)
723,Mando Automotive,4.1,(630 Reviews),,Private,"Kanchipuram,Tamil Nadu + 17 more",16 years old,1k-5k Employees (India)
724,UBS,3.8,(630 Reviews),,Private,Zurich + 25 more,7 years old,5k-10k Employees (India)
725,Continental Auto...,4.2,(629 Reviews),,Private,"Lower Saxony,Hanover + 10 more",151 years old,5k-10k Employees (India)
726,ICICI Home Finan...,3.9,(628 Reviews),,Private,"Mumbai,Maharashtra + 134 more",23 years old,1k-5k Employees (India)
727,V2 Retail,3.4,(628 Reviews),,Public,"Delhi/NCR,Delhi + 67 more",21 years old,501-1k Employees (India)
728,Podar Internatio...,4.4,(628 Reviews),,Private,"Mumbai,Maharashtra + 91 more",95 years old,5k-10k Employees (India)
729,TUV SUD,4.1,(628 Reviews),,Private,Munich + 55 more,156 years old,1k-5k Employees (India)
730,CRB Tech Solutio...,4.3,(627 Reviews),,Private,"Pune,Maharashtra + 8 more",21 years old,501-1k Employees (India)
731,Caterpillar Inc,4.2,(804 Reviews),,Private,"Deerfield,Illinois + 25 more",97 years old,5k-10k Employees (India)
732,DCM Shriram,4.2,(666 Reviews),,Public,"Delhi/NCR,New Delhi + 59 more",32 years old,1k-5k Employees (India)
733,Polycab Wires,4,(626 Reviews),,Private,"Mumbai,Maharashtra + 59 more",26 years old,1k-5k Employees (India)
734,Burger King,4,(625 Reviews),,Private,Miami + 58 more,8 years old,1k-5k Employees (India)
735,Ceasefire Indust...,3.3,(624 Reviews),,Private,Noida + 65 more,20 years old,1k-5k Employees (India)
736,Spicer India,4.4,(623 Reviews),,Private,"Delhi/NCR,Delhi + 35 more",29 years old,1k-5k Employees (India)
737,Vestas,4.2,(620 Reviews),,Private,"Aarhus,Central Denmark Region + 32 more",26 years old,1k-5k Employees (India)
738,ANZ Banking Grou...,4.2,(792 Reviews),,"Melbourne,Victoria + 12 more",15 years old,5k-10k Employees (India),None
739,Egis  India Cons...,4.2,(618 Reviews),,Private,"Gurgaon/Gurugram,Haryana + 85 more",17 years old,1k-5k Employees (India)
740,Telenor,4.4,(645 Reviews),,Private,"Fornebu,Fornebu + 117 more",13 years old,1k-5k Employees (India)
741,Automotive Manuf...,4,(616 Reviews),,Private,"Mumbai,Maharashtra + 90 more",74 years old,1k-5k Employees (India)
742,Nirma,4.4,(616 Reviews),,Private,"Ahmedabad,Gujarat + 49 more",32 years old,10k-50k Employees (India)
743,Next Education I...,3.8,(614 Reviews),,Private,"Hyderabad/Secunderabad,Telangana + 68 more",15 years old,1k-5k Employees (India)
744,SNC-Lavalin,4.3,(947 Reviews),,Public,"Montreal,Quebec + 50 more",111 years old,1k-5k Employees (India)
745,Supreme Industri...,4.1,(671 Reviews),,Public,Mumbai + 57 more,80 years old,10k-50k Employees (India)
746,Hathway,3.9,(611 Reviews),,Private,"Mumbai,Maharashtra + 43 more",63 years old,1k-5k Employees (India)
747,Dhoot Transmissi...,3.5,(611 Reviews),,Private,"Mumbai,Maharashtra + 17 more",24 years old,201-500 Employees (India)
748,Viraj Profiles,3.8,(610 Reviews),,Private,"Mumbai,Maharashtra + 16 more",22 years old,5k-10k Employees (India)
749,Jindal X,3.3,(610 Reviews),,Public,"New Delhi,Delhi + 12 more",24 years old,501-1k Employees (India)
750,Barbeque Nation,4.2,(608 Reviews),,Private,"Bangalore/Bengaluru,Karnataka + 51 more",16 years old,5k-10k Employees (India)
751,Xiaomi,4.1,(607 Reviews),,Private,"Haidian District,Beijing + 123 more",12 years old,10k-50k Employees (India)
752,Thomas Cook,3.9,(607 Reviews),,Public,"Mumbai,Maharashtra + 68 more",141 years old,1k-5k Employees (India)
753,AstraZeneca,4.2,(606 Reviews),,Public,"Cambridge,Cambridgeshire + 32 more",23 years old,1k-5k Employees (India)
754,Godrej Consumer ...,4.3,(605 Reviews),,Public,Mumbai + 80 more,21 years old,10k-50k Employees (India)
755,Alstom,4,(605 Reviews),,Private,Saint-Ouen + 47 more,94 years old,5k-10k Employees (India)
756,JK Lakshmi Cemen...,4.3,(644 Reviews),,Public,"Delhi/NCR,New Delhi + 88 more",40 years old,1k-5k Employees (India)
757,Kirloskar Oil En...,4,(604 Reviews),,Public,"Pune,Maharashtra + 66 more",76 years old,1k-5k Employees (India)
758,Spandana Sphoort...,3.5,(604 Reviews),,Public,"Hyderabad/Secunderabad,Telangana + 175 more",24 years old,5k-10k Employees (India)
759,Apollo Pharmacy,3.8,(604 Reviews),,Private,"Chennai,Tamil Nadu + 101 more",39 years old,10k-50k Employees (India)
760,Fluor Daniel Ind...,4,(602 Reviews),,Private,"Irving,Texas + 18 more",110 years old,501-1k Employees (India)
761,Schaeffler India,4.3,(602 Reviews),,Public,"Mumbai,Maharashtra + 19 more",76 years old,1k-5k Employees (India)
762,ManpowerGroup,4.1,(602 Reviews),,Private,"Milwaukee,Wisconsin + 84 more",25 years old,501-1k Employees (India)
763,Mahindra CIE Aut...,3.9,(601 Reviews),,Public,"Mumbai,Maharashtra + 26 more",23 years old,1k-5k Employees (India)
764,THE LEELA PALACE...,4.2,(600 Reviews),,Private,"Mumbai,Maharashtra + 25 more",39 years old,1k-5k Employees (India)
765,CADD Centre Trai...,4,(600 Reviews),,Private,"Chennai,Tamil Nadu + 109 more",34 years old,1k-5k Employees (India)
766,Eaton Corporatio...,4.1,(599 Reviews),,Public,"Cleveland,Ohio + 14 more",111 years old,5k-10k Employees (India)
767,Suryoday Small F...,3.9,(599 Reviews),,Private,"Mumbai,Maharashtra + 104 more",14 years old,1k-5k Employees (India)
768,Parexel Internat...,4.2,(599 Reviews),,Private,Massachusetts + 6 more,40 years old,1k-5k Employees (India)
769,Slk Software Ser...,3.7,(597 Reviews),,Private,"Bangalore/Bengaluru,Karnataka + 6 more",22 years old,1k-5k Employees (India)
770,Coca-Cola Compan...,4.4,(2.8k Reviews),,Private,Atlanta + 132 more,136 years old,10k-50k Employees (India)
771,TE Connectivity,4.2,(596 Reviews),,Private,"Schaffhausen,Schaffhausen + 8 more",15 years old,1k-5k Employees (India)
772,Pine Labs,4.2,(596 Reviews),,Private,"Noida,Uttar Pradesh + 58 more",24 years old,1k-5k Employees (India)
773,Thyrocare Techno...,3.3,(594 Reviews),,Public,"Mumbai,Maharashtra + 37 more",26 years old,1k-5k Employees (India)
774,Nilkamal,3.9,(671 Reviews),,Public,"Mumbai,Maharashtra + 81 more",41 years old,1k-5k Employees (India)
775,Ruchi Soya Indus...,4.2,(593 Reviews),,Public,"Mumbai,Maharashtra + 88 more",36 years old,5k-10k Employees (India)
776,VVDN Technologie...,3.7,(593 Reviews),,Private,Gurgaon + 24 more,15 years old,1k-5k Employees (India)
777,Aarvee Associate...,3.9,(592 Reviews),,Private,"Hyderabad/Secunderabad,Telangana + 94 more",33 years old,1k-5k Employees (India)
778,VIP Industries,4,(592 Reviews),,Public,"Mumbai,Maharashtra + 73 more",51 years old,1k-5k Employees (India)
779,Micromax Informa...,3.9,(848 Reviews),,Private,"Gurgaon/Gurugram,Haryana + 103 more",22 years old,1k-5k Employees (India)
780,Medlife,3.6,(588 Reviews),,Private,"Bangalore,Karnataka + 30 more",8 years old,1k-5k Employees (India)
781,Future Supply Ch...,4.4,(588 Reviews),,Public,"Mumbai,Maharashtra + 57 more",16 years old,1k-5k Employees (India)
782,Reliance Capital,4,(3.9k Reviews),,Public,"Navi Mumbai,Maharashtra + 78 more",17 years old,1k-5k Employees (India)
783,OM Logistics,4.1,(587 Reviews),,Private,"Delhi/NCR,Delhi + 82 more",23 years old,1k-5k Employees (India)
784,1point1 Solution...,3.3,(587 Reviews),,Public,"Navi Mumbai,Maharashtra + 12 more",14 years old,5k-10k Employees (India)
785,GlaxoSmithKline ...,4.4,(1.8k Reviews),,Public,London + 84 more,22 years old,1k-5k Employees (India)
786,IndiaFirst Life ...,4.3,(584 Reviews),,Private,"Mumbai,Maharashtra + 113 more",13 years old,1k-5k Employees (India)
787,C.R.I. Pumps,3.9,(584 Reviews),,Private,"Coimbatore,Tamil Nadu + 49 more",61 years old,1k-5k Employees (India)
788,Newgen Software ...,3.6,(583 Reviews),,Public,"Delhi,NCT + 20 more",30 years old,1k-5k Employees (India)
789,Acme Cleantech S...,3.9,(582 Reviews),,Private,"Gurgaon/Gurugram,Haryana + 76 more",19 years old,1k-5k Employees (India)
790,Shriram Life Ins...,4.1,(582 Reviews),,Private,"Hyderabad/Secunderabad,Telangana + 168 more",17 years old,50k-1 Lakh Employees (India)
791,PNC Infratech,4,(581 Reviews),,Public,"Delhi/NCR,Delhi + 56 more",23 years old,5k-10k Employees (India)
792,Nexa,4.1,(579 Reviews),,Private,"Delhi/NCR,Delhi + 143 more",7 years old,1k-5k Employees (India)
793,Yashoda Hospital...,3.8,(578 Reviews),,Private,"Ghaziabad,Uttar Pradesh + 18 more",33 years old,501-1k Employees (India)
794,Apco Infratech,4,(576 Reviews),,Private,"Lucknow,Uttar Pradesh + 51 more",30 years old,1k-5k Employees (India)
795,MDIndia Health I...,4,(576 Reviews),,Private,"Pune,Maharashtra + 55 more",22 years old,5k-10k Employees (India)
796,Shubham Housing ...,4.2,(575 Reviews),,Private,"Gurgaon,Haryana + 85 more",12 years old,10k-50k Employees (India)
797,INDUSIND MARKETI...,4.2,(575 Reviews),,Private,"Chennai,Tamil Nadu + 231 more",20 years old,501-1k Employees (India)
798,Infogain,3.9,(575 Reviews),,Private,"Los Gatos,California + 13 more",32 years old,1k-5k Employees (India)
799,Sandvik Asia,4.3,(575 Reviews),,Private,"Stockholm,Stockholm + 27 more",160 years old,1k-5k Employees (India)
800,Hatsun Agro Prod...,4.2,(574 Reviews),,Public,"Chennai,Tamil Nadu + 69 more",52 years old,1k-5k Employees (India)
801,Sri Chaitanya Ed...,3.9,(573 Reviews),,Private,"Hyderabad/Secunderabad,Telangana + 57 more",36 years old,51-200 Employees (India)
802,Clover Infotech,3.8,(573 Reviews),,Private,"Mumbai,Maharashtra + 13 more",28 years old,1k-5k Employees (India)
803,Ivrcl Infrastruc...,4.4,(572 Reviews),,Public,"Hyderabad/Secunderabad,Telangana + 54 more",35 years old,1k-5k Employees (India)
804,Credit Suisse,4,(572 Reviews),,Private,Zurich + 6 more,166 years old,10k-50k Employees (India)
805,Altran Technolog...,3.7,(914 Reviews),,Private,Neuilly-sur-Seine + 7 more,40 years old,10k-50k Employees (India)
806,Novo Nordisk,4,(571 Reviews),,Private,"New York City,New York + 49 more",99 years old,1k-5k Employees (India)
807,Hinduja Leyland ...,4.1,(571 Reviews),,Private,"Chennai,Tamil Nadu + 173 more",16 years old,1k-5k Employees (India)
808,Hyundai Mobis,3.8,(570 Reviews),,Private,"Kanchipuram,Tamil Nadu + 31 more",5 years old,51-200 Employees (India)
809,Rockman Industri...,3.7,(568 Reviews),,Private,"Delhi/NCR,Delhi + 23 more",62 years old,1k-5k Employees (India)
810,Capacit'e Infrap...,3.9,(595 Reviews),,Public,"Mumbai,Maharashtra + 23 more",10 years old,501-1k Employees (India)
811,Pramerica Life I...,3.9,(566 Reviews),,Private,Gurgaon + 110 more,8 years old,501-1k Employees (India)
812,Colgate Palmoliv...,4.3,(565 Reviews),,Public,"New York,New York + 84 more",85 years old,1k-5k Employees (India)
813,Bestseller Retai...,4.4,(565 Reviews),,Private,"Mumbai,Maharashtra + 60 more",13 years old,501-1k Employees (India)
814,Galfar,4.2,(565 Reviews),,Private,Muscat + 28 more,50 years old,1k-5k Employees (India)
815,Paytm Payments B...,3.9,(565 Reviews),,Public,"Noida,Uttar Pradesh + 79 more",6 years old,1k-5k Employees (India)
816,Bharti Infratel,4.4,(564 Reviews),,Public,"Gurgaon/Gurugram,Haryana + 65 more",16 years old,1k-5k Employees (India)
817,Duck Creek,4.7,(563 Reviews),,LLP,"Boston,Massachusetts + 3 more",22 years old,501-1k Employees (India)
818,Gujarat Fluoroch...,4.2,(563 Reviews),,Private,"Noida,Uttar Pradesh + 20 more",35 years old,1k-5k Employees (India)
819,Sansera Engineer...,4.2,(562 Reviews),,Public,"Bangalore/Bengaluru,Karnataka + 17 more",36 years old,501-1k Employees (India)
820,Sundaram Finance,4.3,(562 Reviews),,Public,"Chennai,Tamil Nadu + 170 more",68 years old,1k-5k Employees (India)
821,Samsung Engineer...,4.3,(561 Reviews),,Private,"Suwon-Si,Gyeonggi-Do + 37 more",16 years old,1k-5k Employees (India)
822,FLSmidth,3.8,(561 Reviews),,Private,"Copenhagen,Valby + 20 more",140 years old,1k-5k Employees (India)
823,Optum Global Sol...,4,(561 Reviews),,Hyderabad/Secunderabad + 7 more,10k-50k Employees (India),None,None
824,FirstCry,3.8,(560 Reviews),,Private,"Pune,Maharashtra + 65 more",12 years old,1k-5k Employees (India)
825,Marks & Spencer,4.5,(560 Reviews),,Private,London + 47 more,138 years old,1k-5k Employees (India)
826,Pizza Hut,4,(558 Reviews),,Private,"Plano,Texas + 75 more",64 years old,1k-5k Employees (India)
827,Tata steel BSL,4,(557 Reviews),,Public,"Mumbai,Maharashtra + 28 more",35 years old,10k-50k Employees (India)
828,Greaves Cotton,4.2,(556 Reviews),,Public,"Mumbai,Maharashtra + 27 more",163 years old,1k-5k Employees (India)
829,JSW Cement,4,(556 Reviews),,Private,"Mumbai,Maharashtra + 82 more",13 years old,1k-5k Employees (India)
830,Centum Electroni...,3.9,(556 Reviews),,Public,"Bangalore/Bengaluru,Karnataka + 8 more",28 years old,1k-5k Employees (India)
831,Pricol,3.9,(629 Reviews),,Public,"Coimbatore,Tamil Nadu + 17 more",47 years old,1k-5k Employees (India)
832,LOREAL,4.3,(586 Reviews),,Private,Clichy + 65 more,31 years old,1k-5k Employees (India)
833,Perfetti Van Mel...,4.3,(555 Reviews),,Private,Lainate + 82 more,21 years old,1k-5k Employees (India)
834,Indiabulls Ventu...,3.4,(555 Reviews),,Public,"Mumbai,Maharashtra + 74 more",27 years old,1k-5k Employees (India)
835,C&S Electric,3.9,(555 Reviews),,Private,"Delhi/NCR,New Delhi + 40 more",56 years old,5k-10k Employees (India)
836,SAI Life Science...,3.9,(555 Reviews),,Public,Hyderabad + 5 more,23 years old,1k-5k Employees (India)
837,Altruist Technol...,3.1,(554 Reviews),,Private,"Chandigarh,Union Territory Of Chandigarh + 19 more",17 years old,51-200 Employees (India)
838,Gmmco,4.2,(553 Reviews),,Private,"Chennai,Tamil Nadu + 66 more",55 years old,1k-5k Employees (India)
839,Vibgyor High Sch...,3.9,(553 Reviews),,Private,Mumbai + 16 more,18 years old,1k-5k Employees (India)
840,Punjab National ...,4.1,(553 Reviews),,Private,"Delhi/NCR,Delhi + 124 more",128 years old,50k-1 Lakh Employees (India)
841,INDO-MIM,4.3,(552 Reviews),,Private,"Bangalore/Bengaluru,Karnataka + 11 more",24 years old,1k-5k Employees (India)
842,Panacea Biotec,4,(555 Reviews),,Public,"Delhi/NCR,New Delhi + 45 more",38 years old,1k-5k Employees (India)
843,Unicharm,4.3,(551 Reviews),,Private,"Mita,Tokyo + 97 more",61 years old,1k-5k Employees (India)
844,Planet Spark,3.5,(549 Reviews),,Private,"Gurgaon,Haryana + 22 more",5 years old,51-200 Employees (India)
845,Kirloskar Brothe...,4.1,(585 Reviews),,Public,Pune + 47 more,134 years old,1k-5k Employees (India)
846,Mahindra First C...,4,(548 Reviews),,Private,"Mumbai,Maharashtra + 97 more",28 years old,1k-5k Employees (India)
847,KEI Industries,4,(547 Reviews),,Public,"Delhi/NCR,Delhi + 56 more",54 years old,5k-10k Employees (India)
848,Eureka Outsourci...,3.3,(547 Reviews),,Private,"Thane,Maharashtra + 14 more",20 years old,1k-5k Employees (India)
849,Fareportal,3.3,(547 Reviews),,Private,"New York,New York + 7 more",20 years old,1k-5k Employees (India)
850,Edelweiss Tokio ...,4,(546 Reviews),,"Mumbai,Maharashtra + 96 more",11 years old,1k-5k Employees (India),None
851,Aviva Life Insur...,3.9,(546 Reviews),,JV,London + 81 more,326 years old,1k-5k Employees (India)
852,eClinicalWorks,4.2,(546 Reviews),,Private,"Westborough,Massachusetts + 9 more",23 years old,1k-5k Employees (India)
853,Hindustan Zinc,3.8,(545 Reviews),,Public,"Udaipur,Rajasthan + 22 more",56 years old,1k-5k Employees (India)
854,Finolex Cables,3.9,(545 Reviews),,Public,Pune + 69 more,66 years old,5k-10k Employees (India)
855,Mswipe Technolog...,3.1,(544 Reviews),,Private,"Mumbai,Maharashtra + 68 more",11 years old,1k-5k Employees (India)
856,Tenneco,3.8,(542 Reviews),,Private,"Lake Forest,Illinois + 24 more",82 years old,1k-5k Employees (India)
857,Bechtel,4.1,(541 Reviews),,Private,"Reston,Virginia + 24 more",124 years old,1k-5k Employees (India)
858,S&P Global Marke...,4.2,(541 Reviews),,Private,New York + 8 more,113 years old,5k-10k Employees (India)
859,Morgan Stanley,4.1,(540 Reviews),,Private,"New York,New York + 9 more",91 years old,10k-50k Employees (India)
860,Hindustan Sanita...,4.1,(539 Reviews),,Public,"Gurgaon/Gurugram,Haryana + 52 more",62 years old,1k-5k Employees (India)
861,Magna Infotech,3.4,(539 Reviews),,Private,Bangalore + 40 more,25 years old,1k-5k Employees (India)
862,Ion Exchange Ind...,3.8,(539 Reviews),,Public,"Mumbai,Maharashtra + 63 more",58 years old,1k-5k Employees (India)
863,Kinara Capital,4.6,(539 Reviews),,Private,"Bangalore,Karnataka + 87 more",11 years old,1k-5k Employees (India)
864,Carnival Cruise ...,4.6,(538 Reviews),,Public,"Miami,Florida + 20 more",50 years old,1k-5k Employees (India)
865,Apollo Munich He...,3.9,(538 Reviews),,Public,Gurgaon + 108 more,15 years old,1k-5k Employees (India)
866,Future Focus Inf...,3.6,(536 Reviews),,Private,Chennai + 47 more,25 years old,1k-5k Employees (India)
867,RBL FinServe,4.2,(536 Reviews),,Private,"Mumbai,Maharashtra + 181 more",17 years old,5k-10k Employees (India)
868,Schlumberger,4.3,(543 Reviews),,Private,"Houston,Texas + 30 more",14 years old,5k-10k Employees (India)
869,Olam,4.1,(534 Reviews),,Public,"Chennai,Tamil Nadu + 37 more",33 years old,1k-5k Employees (India)
870,Fidelity Investm...,4.4,(534 Reviews),,Private,"Boston,Massachusetts + 8 more",76 years old,5k-10k Employees (India)
871,Electrosteel Ste...,4.1,(533 Reviews),,Public,Jharkhand + 13 more,16 years old,501-1k Employees (India)
872,DAV Public Schoo...,4.1,(532 Reviews),,Private,"Delhi/NCR,New Delhi + 123 more",136 years old,1 Lakh+ Employees (India)
873,Atos Global IT S...,4.1,(532 Reviews),,"Navi Mumbai,Maharashtra + 12 more",22 years old,10k-50k Employees (India),None
874,Automatic Data P...,4.3,(533 Reviews),,New Jersey + 3 more,73 years old,1k-5k Employees (India),None
875,Episource,3.9,(531 Reviews),,Private,"Gardena,California + 8 more",16 years old,1k-5k Employees (India)
876,Trimax IT Infras...,3.4,(530 Reviews),,Private,"Mumbai,Maharashtra + 66 more",27 years old,1k-5k Employees (India)
877,Decathlon,4,(530 Reviews),,Private,Lille + 57 more,46 years old,1k-5k Employees (India)
878,TietoEVRY,4.3,(530 Reviews),,Public,Helsinki + 5 more,28 years old,1k-5k Employees (India)
879,TCS iON,3.8,(529 Reviews),,Mumbai + 69 more,11 years old,1k-5k Employees (India),None
880,Imperial Auto In...,3.8,(529 Reviews),,Public,"Faridabad,Haryana + 23 more",53 years old,1k-5k Employees (India)
881,Huhtamaki,4.2,(529 Reviews),,Private,Espoo + 25 more,87 years old,201-500 Employees (India)
882,Intertek,3.8,(533 Reviews),,Private,London + 45 more,25 years old,1k-5k Employees (India)
883,Sykes Business S...,3.5,(528 Reviews),,Private,"Tampa,Florida + 13 more",45 years old,10k-50k Employees (India)
884,Syngenta,4.3,(528 Reviews),,Private,"Basel,Basel + 96 more",22 years old,1k-5k Employees (India)
885,MAHLE ANAND Filt...,4.2,(527 Reviews),,Private,"Stuttgart,Germany + 19 more",17 years old,1k-5k Employees (India)
886,NEC,4.2,(1.1k Reviews),,Private,Tokyo + 31 more,123 years old,1k-5k Employees (India)
887,Bank of India,3.9,(525 Reviews),,Private,"Mumbai,Maharashtra + 123 more",116 years old,50k-1 Lakh Employees (India)
888,Teva Pharmaceuti...,4.1,(761 Reviews),,Private,"Dublin,Dublin + 28 more",43 years old,1k-5k Employees (India)
889,Adobe,4.3,(523 Reviews),,Public,"San Jose,California + 11 more",25 years old,5k-10k Employees (India)
890,The Ramco Cement...,4.2,(522 Reviews),,Public,"Chennai,Tamil Nadu + 69 more",61 years old,10k-50k Employees (Global)
891,Jaquar,4.2,(522 Reviews),,Private,Gurgaon + 62 more,62 years old,1k-5k Employees (India)
892,Indegene,3.8,(522 Reviews),,Private,Princeton + 16 more,24 years old,1k-5k Employees (India)
893,Jakson Group,3.8,(522 Reviews),,Private,"Noida,Uttar Pradesh + 58 more",75 years old,1k-5k Employees (India)
894,DuPont,4.3,(520 Reviews),,Private,"Wilmington,Delaware Valley + 48 more",220 years old,1k-5k Employees (India)
895,Neel Metal Produ...,4.2,(520 Reviews),,Gurgaon + 27 more,201-500 Employees (India),None,None
896,Sonata Software,4.1,(520 Reviews),,Public,"Bangalore/Bengaluru,Karnataka + 9 more",36 years old,1k-5k Employees (India)
897,Star Union Dai-i...,3.9,(520 Reviews),,Private,"Navi Mumbai,Maharashtra + 117 more",13 years old,1k-5k Employees (India)
898,Hitachi Systems ...,3.9,(518 Reviews),,Private,"Chiyoda City,Tokyo + 67 more",31 years old,1k-5k Employees (India)
899,Air India Sats A...,3.9,(518 Reviews),,Private,"Mumbai,Maharashtra + 21 more",12 years old,1k-5k Employees (India)
900,Crowne Plaza,4.2,(1.4k Reviews),,Public,"Atlanta,Georgia + 28 more",39 years old,501-1k Employees (India)
901,Kyndryl,4,(517 Reviews),,Bengaluru/Bangalore + 16 more,50k-1 Lakh Employees (India),None,None
902,Tata AutoComp Sy...,4,(1.1k Reviews),,Public,"Pune,Maharashtra + 19 more",24 years old,1k-5k Employees (India)
903,Parekh Integrate...,4.2,(515 Reviews),,Private,"Mumbai,Maharashtra + 65 more",41 years old,1k-5k Employees (India)
904,HT Media,3.8,(706 Reviews),,Public,"Delhi/NCR,Delhi + 36 more",98 years old,1k-5k Employees (India)
905,Visionet Systems,3.4,(513 Reviews),,Private,"Cranbury,New Jersey + 7 more",27 years old,1k-5k Employees (India)
906,The Lalit,4,(512 Reviews),,Private,New Delhi + 28 more,41 years old,1k-5k Employees (India)
907,Provana,4,(512 Reviews),,Private,"Lisle,Illinois + 3 more",11 years old,501-1k Employees (India)
908,Tata Advanced Sy...,3.9,(512 Reviews),,Private,"Hyderabad/Secunderabad,Telangana + 16 more",15 years old,1k-5k Employees (India)
909,Softenger,4.3,(512 Reviews),,Private,"Pune,Maharashtra + 22 more",23 years old,501-1k Employees (India)
910,TVS Supply Chain...,4.1,(1.5k Reviews),,"Chennai,Tamil Nadu + 77 more",126 years old,1k-5k Employees (India),None
911,Everest Industri...,4.2,(509 Reviews),,Public,"Noida,Uttar Pradesh + 57 more",88 years old,1k-5k Employees (India)
912,Canara Bank,3.7,(1.8k Reviews),,Public,"Bangalore/Bengaluru,Karnataka + 104 more",116 years old,50k-1 Lakh Employees (India)
913,CenturyPly,4,(506 Reviews),,Public,"Kolkata,West Bengal + 71 more",36 years old,1k-5k Employees (India)
914,Patra Corporatio...,3.8,(505 Reviews),,Private,"El Dorado Hills,California + 9 more",17 years old,1k-5k Employees (India)
915,Meril Life Scien...,3.9,(505 Reviews),,Private,"Vapi,Gujarat + 46 more",16 years old,1k-5k Employees (India)
916,R Systems Intern...,3.6,(504 Reviews),,Public,"Folsom,California + 11 more",29 years old,1k-5k Employees (India)
917,QualityKiosk Tec...,3.9,(503 Reviews),,Private,"Mumbai,Maharashtra + 11 more",22 years old,1k-5k Employees (India)
918,Musashi Auto Par...,3.9,(502 Reviews),,Private,"Gurgaon/Gurugram,Haryana + 9 more",84 years old,1k-5k Employees (India)
919,Tradeindia.com,3.4,(501 Reviews),,Private,"Noida,Uttar Pradesh + 35 more",26 years old,1k-5k Employees (India)
920,Godfrey Phillips...,4.3,(499 Reviews),,Public,"Delhi/NCR,New Delhi + 66 more",89 years old,1k-5k Employees (India)
